courseId,title,provider,level,hours,tag
118,Hands-on de Graph Algorithms 118,edX,Intermediate,8,graph_algorithms
119,Lab de ETL 119,Microsoft,Advanced,12,etl
120,Lab de Cypher 120,Neo4j University,Intermediate,40,cypher
121,Ruta de ETL 121,Google,Beginner,12,etl
122,Ruta de ETL 122,edX,Beginner,16,etl
123,Lab de Graph Algorithms 123,Microsoft,Advanced,4,graph_algorithms
124,Práctico de Graph Algorithms 124,Neo4j University,Advanced,10,graph_algorithms
125,Bootcamp de Power BI 125,Neo4j University,Advanced,10,power_bi
126,Workshop de Graph Algorithms 126,AWS Training,Beginner,20,graph_algorithms
127,Fundamentos de Data Warehousing 127,Microsoft,Intermediate,30,data_warehousing
128,Especialización de Kubernetes 128,Microsoft,Beginner,16,kubernetes
129,Especialización de Cloud 129,Google,Advanced,24,cloud
130,Fundamentos de Graph Algorithms 130,Udemy,Advanced,20,graph_algorithms
131,Hands-on de Graph Data Modeling 131,Neo4j University,Intermediate,8,graph_data_modeling
132,Lab de Cypher 132,Udemy,Intermediate,16,cypher
133,Práctico de APIs 133,Pluralsight,Advanced,10,apis
134,Workshop de Docker 134,UNIPRO Academy,Beginner,30,docker
135,Bootcamp de Python 135,Pluralsight,Intermediate,24,python
136,Intensivo de Graph Algorithms 136,Udemy,Intermediate,24,graph_algorithms
137,Lab de Cypher 137,Google,Advanced,20,cypher
138,Especialización de Data Warehousing 138,AWS Training,Intermediate,40,data_warehousing
139,Bootcamp de Data Warehousing 139,Udemy,Beginner,10,data_warehousing
140,Masterclass de APIs 140,Coursera,Advanced,40,apis
141,Intensivo de Python 141,LinkedIn Learning,Advanced,20,python
142,Hands-on de ETL 142,UNIPRO Academy,Advanced,40,etl
143,Ruta de Python 143,UNIPRO Academy,Advanced,4,python
144,Fundamentos de Cypher 144,Microsoft,Advanced,30,cypher
145,Lab de SQL 145,edX,Advanced,4,sql
146,Práctico de Kubernetes 146,Pluralsight,Beginner,6,kubernetes
147,Bootcamp de Cybersecurity 147,Microsoft,Advanced,20,cybersecurity
148,Workshop de Machine Learning 148,Udemy,Intermediate,8,machine_learning
149,Intensivo de Machine Learning 149,LinkedIn Learning,Intermediate,30,machine_learning
150,Workshop de Cloud 150,Udemy,Advanced,40,cloud
151,Lab de Cybersecurity 151,AWS Training,Intermediate,24,cybersecurity
152,Workshop de Graph Data Modeling 152,Pluralsight,Intermediate,16,graph_data_modeling
153,Ruta de Machine Learning 153,Pluralsight,Advanced,8,machine_learning
154,Bootcamp de Kubernetes 154,AWS Training,Beginner,8,kubernetes
155,Bootcamp de Graph Data Modeling 155,Google,Advanced,40,graph_data_modeling
156,Workshop de Docker 156,AWS Training,Advanced,6,docker
157,Especialización de APIs 157,Udemy,Advanced,30,apis
158,Ruta de Graph Algorithms 158,Google,Beginner,24,graph_algorithms
159,Hands-on de Neo4j 159,AWS Training,Advanced,12,neo4j
160,Intensivo de Data Warehousing 160,Pluralsight,Beginner,12,data_warehousing
161,Práctico de Cloud 161,LinkedIn Learning,Intermediate,8,cloud
162,Masterclass de Kubernetes 162,Microsoft,Beginner,6,kubernetes
163,Práctico de Graph Data Modeling 163,UNIPRO Academy,Beginner,30,graph_data_modeling
164,Hands-on de Kubernetes 164,LinkedIn Learning,Advanced,6,kubernetes
165,Bootcamp de Cloud 165,AWS Training,Beginner,40,cloud
166,Workshop de Docker 166,Neo4j University,Intermediate,16,docker
167,Fundamentos de Python 167,UNIPRO Academy,Advanced,40,python
168,Ruta de Machine Learning 168,Coursera,Beginner,24,machine_learning
169,Ruta de Docker 169,UNIPRO Academy,Intermediate,16,docker
170,Workshop de Graph Data Modeling 170,LinkedIn Learning,Intermediate,40,graph_data_modeling
171,Práctico de Graph Algorithms 171,Pluralsight,Beginner,16,graph_algorithms
172,Workshop de Cybersecurity 172,Microsoft,Beginner,24,cybersecurity
173,Fundamentos de Cybersecurity 173,Pluralsight,Beginner,8,cybersecurity
174,Masterclass de Machine Learning 174,UNIPRO Academy,Advanced,6,machine_learning
175,Ruta de Cypher 175,edX,Advanced,6,cypher
176,Práctico de Neo4j 176,Microsoft,Beginner,40,neo4j
177,Intensivo de Docker 177,Coursera,Advanced,16,docker
178,Bootcamp de SQL 178,edX,Advanced,20,sql
179,Ruta de Neo4j 179,UNIPRO Academy,Advanced,30,neo4j
180,Workshop de SQL 180,Neo4j University,Advanced,6,sql
181,Intensivo de Neo4j 181,Pluralsight,Beginner,8,neo4j
182,Práctico de ETL 182,Google,Beginner,20,etl
183,Hands-on de Cypher 183,Microsoft,Intermediate,10,cypher
184,Masterclass de Power BI 184,Coursera,Intermediate,6,power_bi
185,Hands-on de Graph Algorithms 185,Microsoft,Advanced,40,graph_algorithms
186,Ruta de Power BI 186,edX,Beginner,16,power_bi
187,Ruta de Graph Algorithms 187,UNIPRO Academy,Advanced,4,graph_algorithms
188,Hands-on de Machine Learning 188,Microsoft,Intermediate,20,machine_learning
189,Hands-on de Cypher 189,Udemy,Intermediate,10,cypher
190,Hands-on de Cypher 190,LinkedIn Learning,Intermediate,10,cypher
191,Lab de Python 191,AWS Training,Beginner,16,python
192,Bootcamp de SQL 192,Neo4j University,Intermediate,12,sql
193,Masterclass de Graph Algorithms 193,AWS Training,Beginner,8,graph_algorithms
194,Workshop de APIs 194,edX,Intermediate,24,apis
195,Lab de Graph Data Modeling 195,UNIPRO Academy,Beginner,30,graph_data_modeling
196,Masterclass de Python 196,LinkedIn Learning,Intermediate,4,python
197,Práctico de SQL 197,Udemy,Beginner,30,sql
198,Masterclass de Cypher 198,Udemy,Intermediate,6,cypher
199,Masterclass de APIs 199,Neo4j University,Beginner,6,apis
200,Lab de Python 200,Pluralsight,Advanced,10,python
201,Workshop de SQL 201,Udemy,Intermediate,12,sql
202,Hands-on de Neo4j 202,Neo4j University,Beginner,10,neo4j
203,Workshop de Machine Learning 203,Microsoft,Beginner,8,machine_learning
204,Práctico de Docker 204,UNIPRO Academy,Intermediate,8,docker
205,Masterclass de Docker 205,edX,Intermediate,8,docker
206,Workshop de Data Warehousing 206,Neo4j University,Intermediate,12,data_warehousing
207,Intensivo de Machine Learning 207,Google,Beginner,30,machine_learning
208,Ruta de Cloud 208,edX,Advanced,16,cloud
209,Práctico de Cloud 209,UNIPRO Academy,Advanced,20,cloud
210,Fundamentos de Python 210,LinkedIn Learning,Intermediate,20,python
211,Ruta de ETL 211,UNIPRO Academy,Advanced,8,etl
212,Workshop de Graph Data Modeling 212,Microsoft,Intermediate,40,graph_data_modeling
213,Lab de Kubernetes 213,Udemy,Intermediate,16,kubernetes
214,Práctico de Cypher 214,Pluralsight,Advanced,24,cypher
215,Lab de Graph Data Modeling 215,Neo4j University,Intermediate,12,graph_data_modeling
216,Práctico de Data Warehousing 216,UNIPRO Academy,Advanced,20,data_warehousing
217,Workshop de Cloud 217,Microsoft,Beginner,6,cloud
218,Masterclass de Cloud 218,Udemy,Advanced,4,cloud
219,Intensivo de Graph Algorithms 219,edX,Advanced,30,graph_algorithms
220,Workshop de Cloud 220,Neo4j University,Advanced,24,cloud
221,Workshop de Graph Algorithms 221,Google,Intermediate,16,graph_algorithms
222,Práctico de Kubernetes 222,edX,Beginner,20,kubernetes
223,Lab de ETL 223,Google,Beginner,12,etl
224,Práctico de Cypher 224,UNIPRO Academy,Advanced,4,cypher
225,Bootcamp de Python 225,Pluralsight,Beginner,30,python
226,Masterclass de APIs 226,UNIPRO Academy,Beginner,30,apis
227,Masterclass de Graph Data Modeling 227,Coursera,Intermediate,12,graph_data_modeling
228,Especialización de Cloud 228,UNIPRO Academy,Intermediate,6,cloud
229,Especialización de Machine Learning 229,edX,Beginner,40,machine_learning
230,Hands-on de Neo4j 230,Google,Intermediate,8,neo4j
231,Intensivo de Neo4j 231,Udemy,Beginner,4,neo4j
232,Lab de Neo4j 232,AWS Training,Advanced,12,neo4j
233,Ruta de Cypher 233,edX,Beginner,12,cypher
234,Práctico de SQL 234,Microsoft,Advanced,6,sql
235,Ruta de Neo4j 235,Google,Advanced,40,neo4j
236,Bootcamp de ETL 236,Coursera,Beginner,12,etl
237,Lab de Kubernetes 237,UNIPRO Academy,Advanced,30,kubernetes
238,Especialización de Docker 238,LinkedIn Learning,Intermediate,40,docker
239,Práctico de Power BI 239,Coursera,Beginner,16,power_bi
240,Lab de Cypher 240,Udemy,Beginner,8,cypher
241,Fundamentos de ETL 241,Udemy,Advanced,10,etl
242,Masterclass de Graph Data Modeling 242,Neo4j University,Beginner,30,graph_data_modeling
243,Ruta de APIs 243,UNIPRO Academy,Beginner,10,apis
244,Masterclass de ETL 244,Microsoft,Intermediate,6,etl
245,Masterclass de Cybersecurity 245,edX,Beginner,24,cybersecurity
246,Especialización de Neo4j 246,Microsoft,Intermediate,24,neo4j
247,Especialización de Cybersecurity 247,UNIPRO Academy,Beginner,4,cybersecurity
248,Ruta de Neo4j 248,Pluralsight,Beginner,20,neo4j
249,Masterclass de Data Warehousing 249,Coursera,Beginner,40,data_warehousing
250,Práctico de SQL 250,LinkedIn Learning,Advanced,40,sql
251,Fundamentos de Neo4j 251,Pluralsight,Intermediate,24,neo4j
252,Hands-on de Python 252,UNIPRO Academy,Beginner,6,python
253,Práctico de Docker 253,Coursera,Intermediate,40,docker
254,Fundamentos de Neo4j 254,Google,Beginner,40,neo4j
255,Bootcamp de Docker 255,edX,Beginner,24,docker
256,Especialización de Graph Data Modeling 256,Neo4j University,Beginner,10,graph_data_modeling
257,Masterclass de Kubernetes 257,AWS Training,Beginner,30,kubernetes
258,Bootcamp de Docker 258,LinkedIn Learning,Intermediate,8,docker
259,Bootcamp de Graph Data Modeling 259,UNIPRO Academy,Intermediate,16,graph_data_modeling
260,Intensivo de APIs 260,LinkedIn Learning,Beginner,24,apis
261,Ruta de Cypher 261,Coursera,Advanced,6,cypher
262,Fundamentos de Docker 262,Google,Intermediate,12,docker
263,Masterclass de Graph Algorithms 263,UNIPRO Academy,Beginner,10,graph_algorithms
264,Intensivo de Cloud 264,Udemy,Beginner,8,cloud
265,Especialización de SQL 265,Neo4j University,Advanced,20,sql
266,Especialización de Neo4j 266,Pluralsight,Beginner,10,neo4j
267,Ruta de Data Warehousing 267,Udemy,Beginner,8,data_warehousing
268,Fundamentos de Cybersecurity 268,AWS Training,Intermediate,12,cybersecurity
269,Lab de Cybersecurity 269,Google,Beginner,20,cybersecurity
270,Fundamentos de Python 270,edX,Advanced,8,python
271,Hands-on de Power BI 271,Pluralsight,Beginner,10,power_bi
272,Especialización de Data Warehousing 272,Google,Intermediate,6,data_warehousing
273,Lab de Machine Learning 273,AWS Training,Intermediate,30,machine_learning
274,Especialización de Neo4j 274,Udemy,Intermediate,16,neo4j
275,Workshop de Python 275,Pluralsight,Beginner,20,python
276,Especialización de Neo4j 276,Neo4j University,Beginner,40,neo4j
277,Bootcamp de Machine Learning 277,Pluralsight,Advanced,40,machine_learning
278,Bootcamp de Data Warehousing 278,Coursera,Intermediate,30,data_warehousing
279,Masterclass de Data Warehousing 279,Udemy,Advanced,40,data_warehousing
280,Workshop de Cloud 280,LinkedIn Learning,Intermediate,24,cloud
281,Masterclass de Kubernetes 281,Microsoft,Advanced,20,kubernetes
282,Práctico de Graph Data Modeling 282,Google,Intermediate,4,graph_data_modeling
283,Fundamentos de Data Warehousing 283,Microsoft,Advanced,12,data_warehousing
284,Lab de ETL 284,Udemy,Beginner,30,etl
285,Práctico de Cybersecurity 285,Google,Advanced,30,cybersecurity
286,Ruta de Cypher 286,Neo4j University,Advanced,4,cypher
287,Intensivo de Docker 287,AWS Training,Advanced,8,docker
288,Masterclass de Cypher 288,Udemy,Beginner,4,cypher
289,Ruta de Power BI 289,Microsoft,Beginner,20,power_bi
290,Especialización de Python 290,edX,Intermediate,10,python
291,Workshop de ETL 291,Udemy,Advanced,20,etl
292,Lab de ETL 292,UNIPRO Academy,Advanced,8,etl
293,Práctico de Cypher 293,AWS Training,Advanced,20,cypher
294,Intensivo de SQL 294,LinkedIn Learning,Beginner,8,sql
295,Fundamentos de Cybersecurity 295,Coursera,Beginner,8,cybersecurity
296,Lab de Graph Algorithms 296,Coursera,Beginner,16,graph_algorithms
297,Hands-on de Data Warehousing 297,UNIPRO Academy,Beginner,10,data_warehousing
298,Fundamentos de Neo4j 298,UNIPRO Academy,Beginner,30,neo4j
299,Masterclass de Kubernetes 299,edX,Intermediate,20,kubernetes
300,Práctico de Docker 300,AWS Training,Beginner,40,docker
301,Fundamentos de Neo4j 301,Microsoft,Advanced,40,neo4j
302,Ruta de Cloud 302,Neo4j University,Beginner,12,cloud
303,Masterclass de Cypher 303,UNIPRO Academy,Beginner,40,cypher
304,Bootcamp de APIs 304,LinkedIn Learning,Advanced,8,apis
305,Práctico de APIs 305,Coursera,Advanced,24,apis
306,Lab de Graph Algorithms 306,AWS Training,Advanced,30,graph_algorithms
307,Ruta de Cloud 307,Google,Advanced,40,cloud
308,Masterclass de Neo4j 308,UNIPRO Academy,Advanced,16,neo4j
309,Workshop de ETL 309,Neo4j University,Advanced,20,etl
310,Intensivo de Docker 310,LinkedIn Learning,Beginner,4,docker
311,Fundamentos de Neo4j 311,AWS Training,Advanced,30,neo4j
312,Práctico de ETL 312,edX,Intermediate,6,etl
313,Bootcamp de Data Warehousing 313,edX,Intermediate,6,data_warehousing
314,Bootcamp de Data Warehousing 314,Microsoft,Beginner,16,data_warehousing
315,Ruta de Cypher 315,Microsoft,Advanced,16,cypher
316,Intensivo de Cybersecurity 316,Pluralsight,Advanced,8,cybersecurity
317,Ruta de Cloud 317,Udemy,Beginner,4,cloud
318,Intensivo de Graph Algorithms 318,UNIPRO Academy,Beginner,16,graph_algorithms
319,Hands-on de Graph Algorithms 319,edX,Intermediate,20,graph_algorithms
320,Fundamentos de Power BI 320,Google,Intermediate,20,power_bi
321,Ruta de Python 321,AWS Training,Intermediate,12,python
322,Intensivo de Python 322,LinkedIn Learning,Intermediate,24,python
323,Fundamentos de Graph Data Modeling 323,Neo4j University,Beginner,30,graph_data_modeling
324,Intensivo de Graph Data Modeling 324,UNIPRO Academy,Beginner,30,graph_data_modeling
325,Bootcamp de Data Warehousing 325,Microsoft,Beginner,8,data_warehousing
326,Práctico de Machine Learning 326,Microsoft,Intermediate,40,machine_learning
327,Intensivo de Data Warehousing 327,UNIPRO Academy,Beginner,20,data_warehousing
328,Fundamentos de Graph Data Modeling 328,Microsoft,Intermediate,30,graph_data_modeling
329,Bootcamp de Data Warehousing 329,Google,Intermediate,16,data_warehousing
330,Especialización de Data Warehousing 330,Google,Beginner,16,data_warehousing
331,Práctico de Machine Learning 331,LinkedIn Learning,Intermediate,8,machine_learning
332,Práctico de Data Warehousing 332,Pluralsight,Intermediate,4,data_warehousing
333,Intensivo de Neo4j 333,Neo4j University,Beginner,40,neo4j
334,Workshop de Cypher 334,Coursera,Advanced,16,cypher
335,Workshop de Cypher 335,Neo4j University,Advanced,20,cypher
336,Especialización de Cypher 336,Pluralsight,Intermediate,40,cypher
337,Intensivo de Neo4j 337,LinkedIn Learning,Beginner,4,neo4j
338,Lab de Neo4j 338,AWS Training,Beginner,10,neo4j
339,Intensivo de Neo4j 339,LinkedIn Learning,Intermediate,4,neo4j
340,Bootcamp de Neo4j 340,Coursera,Advanced,10,neo4j
341,Especialización de Kubernetes 341,Google,Beginner,4,kubernetes
342,Especialización de Cypher 342,edX,Beginner,40,cypher
343,Masterclass de Cybersecurity 343,Neo4j University,Intermediate,6,cybersecurity
344,Fundamentos de Graph Data Modeling 344,Udemy,Advanced,16,graph_data_modeling
345,Lab de Neo4j 345,LinkedIn Learning,Intermediate,16,neo4j
346,Intensivo de Graph Algorithms 346,Udemy,Intermediate,4,graph_algorithms
347,Intensivo de Data Warehousing 347,Coursera,Beginner,24,data_warehousing
348,Práctico de Power BI 348,Udemy,Intermediate,4,power_bi
349,Ruta de Cypher 349,Neo4j University,Intermediate,10,cypher
350,Hands-on de Neo4j 350,Google,Advanced,10,neo4j
351,Intensivo de Cybersecurity 351,Google,Beginner,12,cybersecurity
352,Hands-on de Graph Algorithms 352,Microsoft,Intermediate,6,graph_algorithms
353,Masterclass de Docker 353,Microsoft,Beginner,8,docker
354,Bootcamp de SQL 354,Coursera,Intermediate,8,sql
355,Lab de Power BI 355,UNIPRO Academy,Advanced,20,power_bi
356,Masterclass de APIs 356,LinkedIn Learning,Intermediate,20,apis
357,Especialización de Graph Data Modeling 357,Udemy,Beginner,40,graph_data_modeling
358,Lab de Data Warehousing 358,LinkedIn Learning,Advanced,24,data_warehousing
359,Intensivo de Kubernetes 359,AWS Training,Intermediate,24,kubernetes
360,Bootcamp de Docker 360,Coursera,Advanced,4,docker
361,Práctico de Machine Learning 361,Pluralsight,Beginner,4,machine_learning
362,Bootcamp de Power BI 362,Microsoft,Intermediate,30,power_bi
363,Lab de Python 363,Udemy,Beginner,8,python
364,Hands-on de Graph Algorithms 364,Udemy,Beginner,12,graph_algorithms
365,Intensivo de Neo4j 365,LinkedIn Learning,Advanced,20,neo4j
366,Especialización de Kubernetes 366,Neo4j University,Beginner,6,kubernetes
367,Masterclass de SQL 367,Udemy,Advanced,16,sql
368,Hands-on de Graph Data Modeling 368,Udemy,Advanced,8,graph_data_modeling
369,Masterclass de Neo4j 369,Udemy,Intermediate,6,neo4j
370,Bootcamp de Cloud 370,Neo4j University,Advanced,40,cloud
371,Práctico de Docker 371,Microsoft,Advanced,6,docker
372,Especialización de Kubernetes 372,Google,Beginner,4,kubernetes
373,Masterclass de APIs 373,edX,Intermediate,10,apis
374,Ruta de SQL 374,Udemy,Advanced,30,sql
375,Especialización de Cloud 375,Neo4j University,Advanced,30,cloud
376,Ruta de ETL 376,LinkedIn Learning,Advanced,4,etl
377,Masterclass de Power BI 377,Udemy,Beginner,16,power_bi
378,Bootcamp de APIs 378,Neo4j University,Beginner,8,apis
379,Especialización de Cypher 379,Pluralsight,Intermediate,10,cypher
380,Intensivo de Machine Learning 380,Neo4j University,Advanced,8,machine_learning
381,Fundamentos de Graph Algorithms 381,Neo4j University,Advanced,20,graph_algorithms
382,Intensivo de Neo4j 382,AWS Training,Advanced,30,neo4j
383,Fundamentos de Power BI 383,edX,Intermediate,8,power_bi
384,Workshop de Cypher 384,LinkedIn Learning,Beginner,4,cypher
385,Especialización de Graph Algorithms 385,UNIPRO Academy,Advanced,10,graph_algorithms
386,Ruta de Cypher 386,Google,Advanced,40,cypher
387,Ruta de Python 387,UNIPRO Academy,Beginner,6,python
388,Intensivo de Cloud 388,UNIPRO Academy,Beginner,10,cloud
389,Lab de ETL 389,Neo4j University,Beginner,6,etl
390,Lab de Cloud 390,Neo4j University,Advanced,24,cloud
391,Workshop de Cloud 391,LinkedIn Learning,Beginner,6,cloud
392,Masterclass de Data Warehousing 392,Coursera,Intermediate,40,data_warehousing
393,Fundamentos de Cloud 393,Microsoft,Intermediate,6,cloud
394,Intensivo de Python 394,Google,Advanced,16,python
395,Hands-on de APIs 395,UNIPRO Academy,Advanced,6,apis
396,Práctico de Cypher 396,Google,Intermediate,10,cypher
397,Workshop de SQL 397,Coursera,Advanced,6,sql
398,Lab de Neo4j 398,Coursera,Advanced,30,neo4j
399,Lab de Machine Learning 399,Microsoft,Advanced,4,machine_learning
400,Especialización de Docker 400,Google,Advanced,4,docker
401,Práctico de Cybersecurity 401,Google,Beginner,20,cybersecurity
402,Masterclass de Cypher 402,UNIPRO Academy,Advanced,30,cypher
403,Ruta de Cypher 403,Google,Beginner,8,cypher
404,Práctico de Data Warehousing 404,AWS Training,Advanced,20,data_warehousing
405,Lab de ETL 405,Google,Beginner,30,etl
406,Lab de Graph Algorithms 406,Pluralsight,Beginner,4,graph_algorithms
407,Masterclass de Docker 407,Microsoft,Beginner,4,docker
408,Intensivo de Graph Data Modeling 408,Microsoft,Beginner,30,graph_data_modeling
409,Hands-on de SQL 409,Google,Advanced,4,sql
