personId1,personId2,sinceYear,strength
637,1223,2024,weak
1170,1457,2020,normal
1285,1444,2020,weak
972,984,2013,strong
143,607,2016,weak
467,704,2016,normal
135,1133,2017,strong
41,717,2012,normal
935,1159,2014,strong
365,777,2025,strong
912,1175,2019,strong
246,1351,2023,strong
62,776,2017,weak
142,247,2026,strong
503,1421,2021,weak
95,135,2018,weak
60,1080,2014,normal
313,1297,2013,strong
1169,1218,2011,weak
355,476,2020,strong
403,1419,2026,normal
655,1411,2014,normal
722,1172,2016,weak
69,792,2016,weak
12,258,2011,normal
657,962,2026,strong
944,992,2020,normal
333,1067,2025,strong
135,328,2019,normal
921,1237,2014,weak
489,826,2021,normal
16,1131,2014,weak
1088,1414,2012,weak
301,482,2026,normal
46,1424,2022,strong
588,1478,2015,normal
16,1252,2015,normal
57,1024,2017,strong
107,387,2019,weak
72,1332,2012,strong
507,1489,2012,normal
46,148,2024,strong
524,904,2024,strong
1021,1481,2018,weak
128,446,2012,strong
584,1480,2014,normal
119,855,2012,strong
1115,1116,2021,strong
228,1027,2013,weak
21,1488,2013,strong
664,1365,2018,strong
378,1496,2015,strong
804,1079,2014,normal
749,1143,2023,strong
735,1245,2017,normal
535,662,2016,strong
1180,1366,2018,normal
526,842,2017,normal
314,922,2024,strong
373,748,2013,strong
609,732,2026,normal
994,1068,2016,normal
817,1435,2018,normal
52,1043,2017,normal
828,1264,2019,normal
470,802,2024,weak
598,987,2019,strong
155,912,2024,weak
642,1030,2024,normal
848,1135,2024,strong
872,1492,2016,weak
747,1497,2010,normal
673,1282,2012,weak
929,1208,2017,weak
175,1271,2023,normal
749,1277,2026,weak
688,1267,2014,strong
4,342,2013,normal
808,810,2021,normal
515,1460,2015,weak
97,1472,2024,weak
38,340,2024,normal
964,1323,2010,normal
843,1033,2013,normal
442,689,2020,strong
372,630,2023,weak
93,949,2016,normal
98,1064,2018,weak
206,826,2014,weak
982,1084,2021,strong
674,931,2011,normal
467,638,2017,weak
541,587,2026,normal
725,1162,2024,normal
615,1290,2020,normal
144,887,2026,normal
1061,1498,2011,weak
445,1000,2019,weak
1212,1401,2012,weak
227,1006,2025,strong
89,1301,2026,strong
39,955,2020,normal
345,998,2023,strong
54,297,2010,weak
166,538,2022,strong
188,297,2023,strong
124,770,2022,strong
5,1078,2024,strong
522,816,2016,strong
1303,1381,2015,normal
219,778,2016,normal
1404,1463,2011,strong
3,1419,2025,strong
1150,1287,2026,strong
95,190,2011,strong
210,665,2025,strong
46,1008,2015,weak
539,877,2025,strong
747,1055,2026,weak
764,1224,2017,strong
754,950,2012,weak
1241,1297,2013,weak
366,545,2022,weak
605,827,2018,weak
311,380,2026,strong
228,611,2016,weak
525,1063,2020,strong
103,845,2014,strong
805,1117,2022,normal
354,427,2022,normal
731,939,2019,normal
70,1193,2020,normal
947,1466,2016,strong
1194,1343,2015,weak
172,386,2020,weak
1106,1230,2021,normal
259,311,2022,normal
1257,1399,2026,strong
51,1328,2019,strong
1037,1130,2010,normal
355,773,2020,normal
431,1320,2025,normal
585,1006,2015,weak
1228,1341,2010,weak
750,1302,2014,weak
288,490,2019,weak
551,1358,2024,weak
246,493,2019,weak
253,617,2019,weak
326,1132,2026,strong
18,979,2026,weak
803,1434,2013,weak
88,671,2024,weak
200,912,2018,strong
385,628,2015,strong
529,1087,2019,weak
329,504,2022,strong
582,684,2023,normal
413,1141,2025,weak
180,381,2026,strong
222,1280,2020,weak
276,1028,2024,normal
782,1388,2013,weak
71,101,2014,weak
229,1441,2025,weak
607,983,2012,normal
127,346,2011,normal
87,1213,2022,weak
1066,1268,2015,weak
529,1329,2014,normal
697,1142,2025,strong
480,1144,2011,weak
466,980,2015,strong
669,814,2012,weak
383,982,2016,normal
737,1214,2010,weak
998,1026,2022,strong
781,1257,2019,weak
841,1042,2023,normal
440,698,2014,strong
104,520,2017,strong
52,64,2021,normal
124,1401,2021,weak
119,1057,2024,strong
81,765,2016,weak
438,1039,2010,weak
676,1096,2026,weak
132,703,2014,normal
261,588,2018,strong
1226,1499,2013,weak
1005,1271,2011,strong
733,812,2022,weak
972,1094,2010,strong
1285,1325,2021,normal
34,582,2025,weak
531,1388,2018,weak
1031,1445,2016,normal
849,879,2018,weak
1174,1201,2022,normal
293,1415,2013,normal
308,942,2013,weak
442,878,2026,weak
586,1300,2015,weak
226,765,2019,weak
399,656,2017,strong
182,429,2015,strong
261,722,2021,weak
494,1418,2012,weak
134,883,2014,weak
1044,1333,2015,weak
512,1472,2015,strong
749,890,2013,weak
243,789,2014,strong
738,997,2020,strong
430,881,2013,normal
618,1117,2015,normal
79,314,2017,normal
227,966,2011,weak
521,1184,2014,weak
428,956,2018,strong
15,558,2012,normal
1011,1048,2012,weak
144,1197,2012,strong
238,307,2020,weak
334,540,2014,weak
1180,1234,2010,normal
233,1131,2025,strong
995,1188,2019,strong
1155,1177,2015,strong
1182,1280,2012,normal
547,769,2017,strong
659,1010,2020,weak
268,859,2019,strong
211,325,2013,strong
1222,1352,2024,strong
955,1008,2012,normal
427,623,2023,weak
330,1185,2010,strong
210,625,2013,strong
803,1368,2013,weak
388,897,2021,normal
935,1295,2016,strong
262,263,2013,normal
810,1300,2024,weak
70,1490,2012,strong
238,320,2019,weak
274,502,2010,normal
895,970,2026,weak
251,905,2010,normal
853,1202,2018,strong
44,1329,2021,normal
7,1447,2014,strong
492,967,2010,strong
16,449,2010,strong
477,807,2016,strong
535,785,2015,strong
566,1266,2025,weak
178,632,2023,normal
684,1029,2014,strong
546,799,2016,strong
241,688,2024,weak
1101,1317,2021,strong
591,1215,2014,weak
96,455,2020,normal
640,1107,2021,normal
1149,1250,2024,strong
720,807,2013,normal
49,639,2024,weak
272,388,2014,normal
881,1435,2019,normal
184,275,2010,weak
430,1499,2017,weak
296,516,2021,strong
867,1271,2024,weak
1054,1326,2020,weak
1059,1441,2017,strong
943,1495,2015,normal
289,476,2024,weak
794,1143,2024,strong
848,1379,2016,weak
526,1328,2022,strong
410,887,2023,strong
1144,1377,2026,normal
657,764,2023,weak
476,689,2015,weak
464,1389,2014,strong
752,1038,2014,strong
3,1179,2021,normal
231,777,2011,normal
267,1225,2010,weak
225,1228,2022,weak
77,81,2023,normal
1195,1463,2026,strong
917,1455,2018,normal
227,1008,2011,weak
404,412,2020,normal
433,1113,2014,weak
468,1336,2020,strong
368,1169,2018,strong
251,355,2013,strong
785,1457,2010,normal
346,592,2010,normal
526,1462,2020,strong
177,1308,2015,strong
891,1065,2024,strong
954,1121,2012,normal
10,269,2025,weak
1030,1345,2020,strong
248,262,2023,normal
680,1124,2024,strong
454,1306,2013,normal
131,801,2014,strong
282,1199,2013,weak
199,1430,2022,strong
758,899,2026,weak
1162,1248,2020,weak
845,1312,2017,normal
416,906,2021,weak
192,1427,2016,strong
484,781,2019,weak
150,1430,2010,strong
1344,1410,2014,normal
21,498,2024,strong
540,797,2026,strong
378,506,2016,weak
731,1304,2013,weak
132,450,2015,weak
180,1430,2026,normal
1393,1423,2014,weak
785,786,2021,normal
303,1500,2018,normal
110,1105,2026,weak
540,918,2016,normal
839,1251,2018,weak
816,1267,2020,strong
635,1192,2021,normal
337,1269,2021,strong
554,974,2021,weak
96,1328,2025,strong
1087,1208,2018,strong
536,1334,2017,strong
570,918,2021,weak
514,1023,2018,normal
1360,1488,2019,strong
36,1169,2014,strong
741,921,2010,strong
149,1046,2021,normal
718,974,2020,normal
145,1341,2018,strong
541,752,2012,weak
665,1047,2026,weak
574,700,2012,weak
386,1403,2024,strong
320,1049,2019,strong
534,749,2019,normal
998,1378,2014,weak
275,754,2026,weak
3,295,2014,strong
376,1331,2020,strong
228,413,2026,normal
577,826,2019,weak
311,1350,2024,strong
875,1163,2023,strong
1098,1437,2017,weak
126,1304,2018,strong
358,644,2020,strong
52,1126,2020,weak
616,939,2019,normal
756,919,2022,strong
131,601,2019,weak
112,359,2023,weak
342,821,2015,strong
1304,1397,2012,weak
607,1469,2020,strong
22,550,2015,normal
660,1103,2013,weak
577,1068,2013,weak
130,1288,2026,strong
328,778,2019,normal
732,1356,2015,weak
355,1406,2013,weak
778,1243,2023,normal
108,482,2021,normal
233,891,2022,weak
343,1288,2023,weak
554,1471,2010,weak
1118,1284,2019,strong
13,70,2016,weak
570,1186,2020,strong
27,907,2011,weak
907,1185,2021,normal
731,996,2019,weak
244,612,2024,strong
185,971,2021,normal
738,1120,2022,strong
237,609,2019,weak
1171,1416,2018,normal
577,1431,2024,weak
409,837,2020,strong
9,1361,2014,strong
18,686,2026,weak
729,1421,2022,weak
132,1202,2021,normal
1386,1462,2024,normal
765,849,2013,strong
1097,1359,2022,weak
350,607,2023,normal
641,1079,2023,strong
1298,1349,2022,normal
737,787,2024,normal
561,790,2019,weak
639,1420,2022,weak
913,1134,2017,normal
27,1041,2021,normal
452,510,2026,normal
916,1139,2013,normal
544,1496,2013,weak
906,1360,2011,normal
601,1249,2023,normal
193,929,2022,strong
451,1490,2017,strong
812,1432,2015,normal
512,911,2023,weak
359,440,2017,normal
360,1042,2019,weak
162,569,2023,strong
377,457,2015,strong
230,1198,2020,weak
151,639,2021,normal
390,921,2015,strong
1145,1497,2026,weak
1321,1430,2025,strong
383,1147,2019,normal
1073,1365,2024,strong
718,908,2019,weak
506,988,2025,strong
10,821,2016,weak
206,467,2017,normal
959,970,2011,weak
444,524,2011,normal
614,1201,2023,normal
48,524,2022,strong
655,973,2011,normal
548,581,2016,normal
360,1055,2020,weak
253,929,2016,normal
445,1099,2013,normal
110,1294,2021,normal
193,245,2011,strong
105,398,2022,weak
249,1345,2026,normal
772,1386,2022,normal
1102,1261,2025,normal
563,1212,2010,strong
269,765,2021,normal
2,650,2022,normal
193,1184,2023,weak
914,917,2016,normal
229,814,2016,strong
387,1400,2015,normal
745,879,2014,strong
504,524,2023,normal
524,1405,2015,weak
873,1037,2025,weak
86,132,2014,weak
371,1284,2024,weak
235,1423,2023,normal
387,474,2020,normal
194,833,2023,normal
255,291,2017,strong
437,1005,2011,normal
266,1123,2011,normal
819,1043,2015,normal
843,1400,2025,weak
227,1131,2016,normal
271,420,2021,strong
676,1408,2024,normal
443,648,2012,normal
467,1005,2024,strong
797,880,2023,normal
21,1413,2021,strong
1294,1457,2025,strong
87,720,2013,normal
703,723,2018,weak
147,505,2015,weak
537,1185,2022,weak
826,1059,2014,weak
812,1124,2018,strong
239,1491,2018,normal
215,905,2024,weak
148,1144,2018,strong
192,1416,2018,strong
789,1406,2012,normal
715,1191,2023,normal
86,1434,2015,normal
939,1350,2013,normal
227,1144,2026,strong
190,1491,2012,weak
615,960,2020,strong
436,500,2025,strong
307,615,2012,strong
606,1177,2017,weak
96,1075,2026,strong
880,891,2010,normal
197,1386,2010,weak
171,202,2017,strong
30,980,2013,normal
365,1199,2022,normal
819,1406,2025,weak
860,1178,2020,weak
920,963,2017,strong
610,1003,2011,strong
371,492,2020,weak
1010,1122,2016,strong
724,1253,2022,weak
139,334,2022,strong
729,1368,2022,strong
278,449,2015,normal
1122,1299,2021,normal
280,724,2012,weak
763,1137,2011,weak
3,860,2010,strong
1180,1425,2024,normal
555,1373,2026,normal
1108,1256,2016,strong
146,616,2010,normal
428,1268,2011,normal
150,506,2018,weak
413,1374,2022,weak
124,1271,2022,normal
394,866,2013,weak
273,576,2010,normal
61,922,2016,normal
663,1027,2019,strong
440,460,2021,weak
12,922,2023,weak
263,275,2010,normal
208,339,2026,weak
175,391,2026,strong
48,350,2010,normal
185,355,2025,normal
1056,1079,2026,strong
574,810,2025,normal
1258,1442,2026,strong
1128,1369,2018,strong
166,463,2011,weak
770,1395,2019,strong
236,1461,2017,strong
50,288,2024,weak
511,1400,2016,strong
402,410,2014,normal
1176,1265,2017,normal
53,936,2019,normal
172,887,2018,normal
985,1441,2010,normal
606,627,2024,weak
330,463,2011,weak
290,1293,2020,weak
761,878,2022,weak
609,1275,2018,strong
609,1046,2021,strong
829,1278,2024,strong
483,641,2026,weak
80,1190,2019,normal
541,767,2022,normal
98,426,2017,normal
820,1350,2016,weak
763,816,2021,weak
185,839,2014,strong
116,1234,2012,normal
205,525,2016,normal
410,957,2023,weak
711,1299,2012,normal
203,600,2017,weak
521,1175,2016,strong
15,549,2021,normal
204,1468,2017,normal
125,946,2020,normal
18,554,2011,strong
9,1000,2011,weak
224,888,2020,strong
836,1186,2011,strong
1078,1214,2017,normal
178,1186,2016,weak
472,1175,2023,weak
343,1290,2015,weak
668,821,2020,normal
28,195,2015,weak
650,1181,2017,normal
373,378,2016,weak
1055,1351,2021,normal
301,1414,2012,weak
327,383,2010,normal
320,1427,2025,normal
306,1492,2014,weak
450,719,2017,strong
275,1132,2023,weak
306,445,2022,strong
793,829,2015,strong
214,856,2024,weak
461,1487,2026,normal
805,1068,2011,weak
164,217,2018,normal
22,807,2022,normal
405,545,2020,weak
1064,1413,2013,strong
1009,1477,2011,normal
879,1367,2022,strong
170,678,2011,normal
552,743,2010,weak
20,1148,2022,weak
455,1305,2023,normal
1184,1185,2019,normal
1027,1238,2017,strong
573,802,2020,strong
526,727,2017,normal
584,897,2021,strong
618,1484,2025,weak
143,400,2023,strong
534,1490,2013,normal
472,612,2023,weak
837,1262,2017,normal
969,1418,2010,normal
876,961,2012,weak
509,1433,2012,weak
911,1184,2015,weak
723,1362,2012,weak
412,1500,2016,weak
78,163,2017,normal
846,1203,2025,weak
180,1379,2023,strong
1311,1424,2019,normal
409,1323,2017,weak
200,395,2012,normal
747,793,2011,weak
130,1090,2020,weak
562,747,2016,strong
59,163,2018,weak
487,1098,2011,normal
122,1414,2014,strong
283,285,2020,strong
500,808,2026,strong
697,1093,2010,normal
237,290,2014,normal
1190,1376,2020,weak
168,419,2012,strong
156,1119,2023,strong
492,516,2017,strong
480,1216,2015,weak
919,1263,2012,normal
1227,1379,2017,strong
561,1289,2022,normal
302,540,2021,strong
252,719,2024,weak
200,529,2016,strong
928,938,2018,normal
157,832,2022,normal
317,821,2023,strong
564,927,2022,strong
272,526,2014,strong
1132,1384,2016,weak
43,437,2010,strong
655,1230,2025,weak
1167,1341,2025,weak
110,612,2017,strong
445,1356,2024,normal
250,1117,2019,normal
217,711,2018,weak
93,379,2026,strong
405,1176,2020,weak
110,733,2026,strong
490,954,2015,normal
1050,1062,2024,weak
711,1367,2019,normal
967,1064,2020,normal
41,81,2018,weak
499,666,2017,normal
546,1421,2026,strong
62,1308,2025,strong
136,1257,2018,weak
162,263,2013,weak
8,25,2018,weak
82,499,2011,normal
334,720,2019,strong
363,1421,2024,strong
927,1234,2018,strong
1120,1134,2026,strong
539,1354,2026,weak
444,447,2010,weak
922,1011,2026,normal
600,731,2011,strong
1284,1363,2010,strong
248,508,2024,normal
1149,1175,2017,strong
46,559,2017,strong
552,919,2021,normal
266,562,2024,normal
813,960,2010,weak
284,1141,2018,weak
977,1068,2025,weak
242,1144,2026,weak
756,1365,2023,normal
127,339,2019,strong
851,1373,2026,strong
54,1029,2019,strong
419,1450,2016,strong
389,1019,2016,strong
821,1430,2010,strong
655,909,2021,weak
658,914,2023,weak
775,1499,2018,normal
38,1206,2012,strong
165,752,2022,normal
280,739,2026,weak
968,1076,2018,normal
353,1217,2011,normal
977,1310,2019,normal
442,737,2021,weak
351,390,2015,normal
140,1338,2026,weak
121,1096,2018,strong
73,116,2013,normal
360,1112,2010,strong
973,1312,2024,normal
1272,1379,2020,strong
208,462,2015,weak
897,1438,2026,strong
331,532,2016,weak
809,1325,2011,normal
594,1400,2026,normal
17,342,2022,strong
344,471,2022,strong
445,1048,2018,normal
274,1166,2012,strong
174,1228,2018,weak
191,1397,2022,normal
898,1030,2025,weak
26,835,2018,weak
67,873,2025,strong
147,307,2024,normal
15,1356,2013,weak
235,1359,2020,normal
183,1169,2023,weak
1014,1097,2014,normal
33,178,2015,normal
131,484,2023,weak
198,245,2011,weak
279,584,2020,strong
919,1210,2025,strong
957,1465,2023,normal
454,1110,2017,normal
58,127,2025,strong
217,874,2022,normal
153,889,2022,normal
483,764,2016,normal
512,1465,2010,weak
911,918,2014,weak
582,1416,2013,strong
38,535,2015,normal
717,1052,2020,strong
447,1228,2023,weak
273,1075,2021,normal
177,549,2025,strong
1097,1458,2026,normal
624,780,2018,strong
489,821,2013,strong
1009,1116,2021,weak
392,659,2023,strong
612,891,2016,strong
772,880,2015,normal
493,1465,2023,weak
610,818,2011,strong
18,906,2014,weak
873,1457,2025,weak
730,883,2010,normal
123,205,2023,weak
386,1073,2015,weak
570,1419,2017,strong
73,613,2026,weak
905,1409,2018,normal
583,1129,2017,weak
797,1058,2025,weak
62,1134,2014,normal
827,937,2016,strong
204,1483,2025,normal
216,554,2013,weak
848,996,2023,weak
1013,1063,2021,strong
223,678,2022,strong
357,1432,2024,weak
458,1484,2026,normal
786,791,2012,weak
928,1140,2018,strong
53,388,2024,normal
727,827,2024,weak
963,1363,2022,weak
152,1269,2013,strong
23,1155,2020,strong
944,1471,2016,strong
99,1379,2011,strong
659,1487,2022,weak
1122,1248,2024,strong
626,1310,2022,weak
571,1374,2012,strong
275,329,2012,strong
1242,1313,2015,strong
296,617,2017,strong
549,568,2018,strong
452,864,2018,weak
328,340,2014,normal
23,229,2011,strong
522,556,2026,weak
936,1364,2020,strong
746,1203,2024,normal
741,859,2016,normal
186,1280,2019,weak
201,622,2026,normal
6,1349,2019,weak
1327,1370,2010,normal
1217,1498,2021,strong
164,474,2018,strong
585,733,2015,strong
1029,1447,2025,normal
388,1387,2024,strong
828,1393,2020,normal
162,815,2024,normal
618,1031,2017,strong
637,1044,2023,normal
655,1098,2026,weak
1158,1160,2019,normal
13,813,2016,strong
574,1109,2014,strong
206,713,2019,weak
574,880,2016,strong
81,947,2016,normal
76,603,2016,weak
862,1283,2015,normal
59,636,2019,weak
1130,1448,2026,weak
197,1014,2019,normal
140,480,2019,strong
1179,1340,2011,weak
459,462,2010,strong
213,1116,2019,weak
151,201,2024,weak
144,1245,2021,strong
793,873,2013,strong
643,1114,2014,weak
390,1422,2020,normal
981,1338,2026,normal
687,891,2018,strong
51,384,2018,strong
699,1130,2026,weak
869,989,2023,weak
131,794,2015,weak
197,330,2020,weak
331,1313,2026,normal
105,1007,2010,weak
440,1485,2013,strong
1171,1475,2011,normal
646,1361,2015,normal
814,945,2023,normal
1347,1408,2014,weak
1407,1459,2014,weak
1104,1421,2021,normal
496,784,2014,normal
117,199,2019,weak
165,1438,2024,normal
1004,1190,2014,strong
356,1383,2014,strong
823,1300,2011,normal
298,1149,2023,normal
724,1257,2018,normal
435,1154,2023,strong
476,1192,2023,normal
911,1349,2011,weak
420,1260,2024,weak
112,915,2024,weak
253,625,2012,weak
486,567,2021,strong
269,569,2021,normal
29,328,2021,weak
1119,1419,2026,strong
1358,1435,2014,normal
468,671,2024,strong
662,685,2018,strong
333,446,2016,normal
885,959,2012,weak
876,1368,2025,strong
131,231,2012,strong
705,1257,2021,strong
1144,1304,2022,strong
449,513,2013,strong
239,932,2012,strong
156,934,2025,strong
30,529,2012,strong
265,1106,2025,normal
80,1289,2026,weak
1186,1193,2021,strong
495,521,2013,strong
169,765,2023,weak
716,1163,2017,strong
103,411,2016,normal
636,874,2026,normal
584,1209,2011,strong
128,175,2024,weak
572,1155,2021,normal
625,752,2012,normal
767,1330,2022,weak
849,874,2013,weak
1033,1220,2011,weak
7,1053,2018,normal
912,1159,2012,strong
318,457,2019,weak
1197,1328,2023,strong
162,1112,2020,normal
748,1438,2026,normal
550,699,2011,weak
739,1389,2016,normal
546,1223,2010,strong
357,1058,2023,weak
654,756,2019,normal
769,1497,2016,strong
378,1346,2012,weak
22,1482,2014,normal
314,1361,2019,weak
993,1390,2016,normal
652,1097,2026,weak
886,998,2024,strong
5,1249,2023,weak
238,1228,2017,weak
52,543,2018,normal
599,712,2010,weak
573,1477,2014,normal
652,989,2010,strong
144,1192,2021,normal
106,900,2015,strong
435,1075,2014,normal
724,949,2022,strong
858,949,2015,weak
863,1293,2022,weak
271,1418,2011,weak
603,659,2017,normal
608,774,2014,weak
7,1308,2018,strong
198,610,2026,normal
414,1174,2023,weak
433,1187,2010,weak
364,1316,2026,normal
606,1344,2014,strong
243,1026,2013,weak
1368,1401,2010,weak
592,1180,2013,strong
265,556,2022,strong
911,1162,2026,strong
574,1311,2020,weak
89,330,2021,strong
136,1314,2012,weak
112,728,2021,strong
308,374,2015,strong
626,949,2023,weak
268,1204,2025,strong
636,1371,2019,normal
629,1183,2026,strong
417,546,2026,weak
150,431,2019,normal
432,1312,2013,strong
241,549,2026,normal
427,968,2013,strong
50,1018,2016,weak
433,490,2013,normal
32,1378,2014,weak
16,1141,2014,strong
580,954,2026,weak
459,893,2017,strong
579,958,2015,strong
338,374,2024,normal
601,1242,2019,weak
477,681,2016,strong
614,952,2025,weak
421,1311,2021,normal
457,968,2019,normal
195,968,2010,normal
948,1242,2019,normal
528,619,2020,normal
10,693,2016,weak
178,506,2019,weak
1277,1417,2016,normal
193,1043,2011,normal
34,269,2011,weak
774,796,2019,strong
1012,1082,2013,normal
1075,1138,2013,weak
65,750,2025,weak
1099,1495,2025,strong
684,1024,2024,strong
692,848,2023,normal
